SYMBOL	DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
1018GS2026	2026-02-05	106.2	106.8	106.2	106.8	1603
20MICRONS	2026-02-05	171.41	173.49	166.91	168.34	101428
21STCENMGM	2026-02-05	40.2	40.21	40.2	40.21	981
360ONE	2026-02-05	1166.8	1171.9	1131.2	1140.8	879272
3IINFOLTD	2026-02-05	15.4	15.49	15.2	15.32	207391
3MINDIA	2026-02-05	35765.0	35855.0	35100.0	35450.0	3135
3PLAND	2026-02-05	36.2	36.4	34.65	35.13	5739
563GS2026	2026-02-05	101.76	101.76	101.55	101.55	142
574GS2026	2026-02-05	101.6	101.6	101.6	101.6	4
5PAISA	2026-02-05	338.1	339.2	330.25	333.9	53843
601GS2030	2026-02-05	98.6	98.6	98.6	98.6	10
610GS2031	2026-02-05	98.3	98.3	98.3	98.3	1
633GS2035	2026-02-05	98.0	99.46	98.0	99.46	2100
63MOONS	2026-02-05	652.9	656.0	635.95	643.85	75976
648GS2035	2026-02-05	99.05	99.85	99.05	99.85	300
654GS2032	2026-02-05	99.1	100.0	99.1	99.6	37440
667GS2050	2026-02-05	92.75	92.75	92.75	92.75	25
668GS2033	2026-02-05	98.7	98.7	98.7	98.7	100
668GS2040	2026-02-05	96.1	96.9	96.1	96.86	17545
675GS2029	2026-02-05	101.65	101.65	101.65	101.65	100
676GS2061	2026-02-05	94.36	94.49	93.84	94.49	508979
679GS2034A	2026-02-05	95.0	95.0	91.0	91.0	360
690GS2065	2026-02-05	95.3	95.3	95.0	95.1	19267
695GS2061	2026-02-05	94.8	94.8	94.58	94.58	41
698GR2054	2026-02-05	94.28	94.28	94.0	94.0	51
699GS2026	2026-02-05	102.16	102.4	102.16	102.16	2032
699GS2051	2026-02-05	95.3	96.0	95.3	95.98	1084
702GS2027	2026-02-05	102.0	102.0	102.0	102.0	2000
709GS2054	2026-02-05	97.0	97.99	96.32	97.0	35948
709GS2074	2026-02-05	97.4	97.4	97.0	97.25	29741
710GS2029	2026-02-05	104.4	104.41	104.4	104.41	5510
717GS2030	2026-02-05	105.0	105.1	105.0	105.09	3300
718GS2037	2026-02-05	101.52	101.99	101.52	101.99	15342
723GS2039	2026-02-05	102.5	103.85	102.5	103.85	13510
724GS2055	2026-02-05	101.2	101.5	101.2	101.31	301
725GS2063	2026-02-05	99.14	99.18	99.04	99.16	29989
726GS2032	2026-02-05	105.66	106.6	105.66	106.6	32002
726GS2033	2026-02-05	103.5	103.5	103.5	103.5	1220
732GS2030	2026-02-05	104.7	104.7	104.7	104.7	600
733GS2026	2026-02-05	102.3	102.3	102.26	102.26	700
734GS2064	2026-02-05	100.38	100.75	100.0	100.05	11364
736GS2052	2026-02-05	103.9	103.9	103.87	103.87	10010
737GS2028	2026-02-05	104.5	104.5	104.5	104.5	100
738GS2027	2026-02-05	102.9	102.92	102.71	102.91	44879
73GS2053	2026-02-05	100.2	100.2	99.6	99.8	22296
741GS2036	2026-02-05	104.0	105.35	104.0	105.35	901
743GS2076	2026-02-05	101.99	101.99	101.99	101.99	100
74GS2062	2026-02-05	102.48	102.48	101.01	102.42	5521
754GS2036	2026-02-05	106.25	106.74	106.24	106.53	389107
772GS2049	2026-02-05	103.85	105.0	103.85	105.0	325
772GS2055	2026-02-05	109.5	109.5	105.5	109.0	403
795GS2032	2026-02-05	107.58	108.99	107.58	108.99	110
813GS2045	2026-02-05	108.21	108.3	108.21	108.3	200
824GS2027	2026-02-05	106.19	106.19	106.19	106.19	53
826GS2027	2026-02-05	105.93	105.93	105.93	105.93	4
828GS2027	2026-02-05	131.47	131.47	131.47	131.47	110
832GS2032	2026-02-05	108.0	108.0	107.75	107.75	1176
833GS2026	2026-02-05	101.5	101.5	101.5	101.5	1288
883GS2041	2026-02-05	113.45	113.45	113.45	113.45	200
897GS2030	2026-02-05	114.26	114.26	114.0	114.0	3
92GS2030	2026-02-05	115.4	115.4	114.5	114.5	4165
A2ZINFRA	2026-02-05	14.5	14.79	14.11	14.25	157932
AAATECH	2026-02-05	103.0	103.0	99.08	101.01	8828
AADHARHFC	2026-02-05	476.0	476.0	472.2	472.55	253725
AAKAAR	2026-02-05	52.0	52.0	51.0	51.0	28800
AAKASH	2026-02-05	7.93	8.02	7.8	7.91	43653
AARADHYA	2026-02-05	116.0	116.0	114.0	114.0	3600
AAREYDRUGS	2026-02-05	64.95	66.8	62.27	65.61	100381
AARON	2026-02-05	163.3	167.93	160.0	164.16	12912
AARTECH	2026-02-05	48.75	49.32	45.71	46.28	22785
AARTIDRUGS	2026-02-05	370.95	377.85	366.05	374.9	248659
AARTIIND	2026-02-05	442.9	456.4	439.05	453.6	2812963
AARTIPHARM	2026-02-05	776.65	789.8	772.55	783.35	73468
AARTISURF	2026-02-05	422.05	429.7	420.0	421.35	6177
AARVI	2026-02-05	131.2	131.3	127.35	127.77	14733
AATMAJ	2026-02-05	23.5	23.5	21.75	21.75	6000
AAVAS	2026-02-05	1427.9	1430.0	1375.0	1379.5	134525
ABAN	2026-02-05	21.63	21.63	20.52	20.63	74340
ABB	2026-02-05	5750.0	5840.5	5663.0	5770.0	205411
ABBOTINDIA	2026-02-05	27200.0	27300.0	26865.0	27215.0	3371
ABCAPITAL	2026-02-05	347.0	347.1	335.0	344.65	7513726
ABCOTS	2026-02-05	427.0	427.6	411.1	424.25	19776
ABDL	2026-02-05	510.95	516.95	498.95	514.95	315912
ABFRL	2026-02-05	69.5	71.2	68.55	70.89	6114739
ABGSEC	2026-02-05	111.54	111.54	110.99	110.99	8
ABINFRA	2026-02-05	19.8	21.05	19.3	20.99	4835943
ABLBL	2026-02-05	115.55	116.4	113.5	114.09	532814
ABMINTLLTD	2026-02-05	39.2	47.04	39.2	41.75	4872
ABREL	2026-02-05	1219.9	1314.4	1201.1	1303.5	758147
ABSLAMC	2026-02-05	820.0	820.45	805.9	809.75	61109
ABSLBANETF	2026-02-05	61.61	61.66	61.16	61.25	11653
ABSLLIQUID	2026-02-05	1000.0	1000.01	999.99	999.99	1109
ABSLNN50ET	2026-02-05	71.12	72.42	71.12	72.12	6747
ABSLPSE	2026-02-05	10.8	10.98	10.59	10.67	559983
ABSMARINE	2026-02-05	174.05	178.0	173.0	176.8	27500
ACC	2026-02-05	1694.0	1694.0	1668.0	1676.2	87906
ACCELYA	2026-02-05	1377.5	1382.5	1360.0	1365.3	83054
ACCENTMIC	2026-02-05	330.5	333.0	321.0	322.7	16000
ACCPL	2026-02-05	71.0	71.0	69.6	69.6	2400
ACCURACY	2026-02-05	5.26	5.4	5.01	5.19	94314
ACE	2026-02-05	877.05	898.5	861.45	895.2	292064
ACEINTEG	2026-02-05	19.89	20.98	19.31	19.78	1602
ACI	2026-02-05	570.0	603.85	540.0	596.15	562565
ACL	2026-02-05	58.29	58.7	57.52	58.63	3706
ACMESOLAR	2026-02-05	229.0	229.7	225.5	227.11	743878
ACUTAAS	2026-02-05	1988.7	1990.0	1948.0	1980.5	226426
ADANIENSOL	2026-02-05	980.0	1016.5	980.0	1011.45	1770119
ADANIENT	2026-02-05	2232.0	2243.7	2210.0	2236.6	992382
ADANIGREEN	2026-02-05	954.0	972.0	951.45	967.15	3102511
ADANIPORTS	2026-02-05	1568.0	1577.7	1548.6	1570.2	3285127
ADANIPOWER	2026-02-05	155.29	156.9	151.1	153.45	26958184
ADDICTIVE	2026-02-05	100.2	106.05	98.0	104.1	49000
ADFFOODS	2026-02-05	223.99	233.0	216.0	227.73	810002
ADL	2026-02-05	72.89	76.0	70.4	71.92	374
ADOR	2026-02-05	1062.9	1089.0	1051.1	1060.6	12342
ADROITINFO	2026-02-05	10.35	10.69	9.91	9.96	131984
ADSL	2026-02-05	128.3	131.69	127.0	128.5	227380
ADVAIT	2026-02-05	1551.2	1551.9	1501.0	1518.3	10157
ADVANCE	2026-02-05	132.7	134.5	130.5	130.83	709052
ADVANIHOTR	2026-02-05	56.61	56.93	55.9	56.04	37721
ADVENTHTL	2026-02-05	227.0	229.94	210.2	214.04	216518
ADVENZYMES	2026-02-05	291.85	292.95	279.15	291.2	110526
AEGISLOG	2026-02-05	699.65	699.65	683.1	687.05	156949
AEGISVOPAK	2026-02-05	227.6	234.0	222.89	228.89	1294436
AEQUS	2026-02-05	140.0	140.76	138.3	139.77	491364
AEROENTER	2026-02-05	80.99	81.34	78.55	79.18	149098
AEROFLEX	2026-02-05	187.45	193.3	185.21	187.98	1054608
AERON	2026-02-05	100.7	100.7	100.7	100.7	2000
AERONEU	2026-02-05	70.0	73.7	70.0	71.61	23564
AESTHETIK	2026-02-05	101.8	102.0	101.8	101.95	3000
AETHER	2026-02-05	1035.6	1052.0	1012.2	1022.0	223752
AFCONS	2026-02-05	344.95	349.8	336.6	338.45	413317
AFFLE	2026-02-05	1645.0	1670.9	1615.6	1663.3	121581
AFFORDABLE	2026-02-05	199.0	199.0	188.0	190.56	25149
AFIL	2026-02-05	5.3	5.38	5.2	5.31	479106
AFSL	2026-02-05	201.11	202.19	201.0	201.32	2654
AGARIND	2026-02-05	704.45	727.0	701.2	722.9	12870
AGARWALEYE	2026-02-05	454.6	460.0	447.35	456.45	106420
AGARWALTUF	2026-02-05	99.0	101.05	99.0	100.5	15600
AGI	2026-02-05	612.75	622.5	589.35	593.75	148155
AGIIL	2026-02-05	255.8	255.95	249.2	252.5	208912
AGNI	2026-02-05	18.6	19.15	18.5	18.95	27500
AGRITECH	2026-02-05	136.1	140.93	135.0	136.01	16384
AGROPHOS	2026-02-05	35.42	36.89	35.42	36.06	9200
AGSTRA	2026-02-05	3.94	3.98	3.76	3.85	164164
AGUL	2026-02-05	74.0	74.0	73.9	73.95	26000
AHCL	2026-02-05	129.98	129.98	122.5	123.8	61382
AHLADA	2026-02-05	50.02	51.35	49.8	50.76	2905
AHLEAST	2026-02-05	136.02	155.0	133.0	144.29	24247
AHLUCONT	2026-02-05	870.2	872.0	860.0	868.6	46961
AIAENG	2026-02-05	4120.0	4128.2	3922.1	3967.0	37648
AIIL	2026-02-05	503.8	504.9	492.2	499.4	210809
AILIMITED	2026-02-05	25.0	25.0	25.0	25.0	1500
AIMTRON	2026-02-05	849.1	858.0	826.0	850.65	9600
AIRAN	2026-02-05	15.28	15.54	14.8	14.85	117022
AIROLAM	2026-02-05	95.89	95.89	91.27	91.51	349
AIRTELPP	2026-02-05	1617.5	1617.5	1575.0	1586.0	1079515
AISL	2026-02-05	72.6	79.0	72.6	75.6	7200
AJANTPHARM	2026-02-05	2821.3	2864.0	2770.6	2817.3	99191
AJAXENGG	2026-02-05	518.3	518.3	490.8	498.75	47525
AJMERA	2026-02-05	148.5	152.61	146.1	148.4	205207
AJOONI	2026-02-05	4.79	5.32	4.78	5.15	2511426
AKANKSHA	2026-02-05	71.0	71.95	70.0	71.95	6000
AKASH	2026-02-05	25.0	25.08	24.2	24.49	17137
AKG	2026-02-05	14.03	14.17	13.9	14.06	32360
AKI	2026-02-05	6.45	6.55	6.25	6.42	118493
AKIKO	2026-02-05	204.0	206.0	195.1	206.0	23200
AKSHAR	2026-02-05	0.52	0.52	0.51	0.51	953912
AKSHARCHEM	2026-02-05	221.04	224.0	221.01	221.16	1205
AKSHOPTFBR	2026-02-05	5.5	5.5	5.3	5.38	669124
AKUMS	2026-02-05	449.9	452.9	442.4	447.65	49768
AKZOINDIA	2026-02-05	2880.0	2893.9	2799.3	2823.3	41984
ALANKIT	2026-02-05	9.65	9.79	9.53	9.6	101497
ALBERTDAVD	2026-02-05	695.7	700.0	683.0	695.2	1898
ALCODIS	2026-02-05	76.05	76.05	76.05	76.05	625
ALEMBICLTD	2026-02-05	96.0	97.49	94.8	96.98	154047
ALGOQUANT	2026-02-05	61.85	61.85	60.0	60.49	427653
ALICON	2026-02-05	747.7	748.4	731.0	737.15	3171
ALIVUS	2026-02-05	935.6	939.05	921.0	925.65	28805
ALKALI	2026-02-05	70.4	70.4	68.12	69.88	6778
ALKEM	2026-02-05	5650.5	5699.0	5584.5	5662.5	108123
ALKYLAMINE	2026-02-05	1580.0	1580.0	1538.0	1554.4	34820
ALLCARGO	2026-02-05	10.76	10.79	10.46	10.69	4047843
ALLDIGI	2026-02-05	890.0	899.4	860.05	887.9	11927
ALLETEC	2026-02-05	187.5	190.95	180.0	182.65	68400
ALLTIME	2026-02-05	240.0	246.79	236.0	240.03	38131
ALMONDZ	2026-02-05	14.63	14.95	14.28	14.36	78718
ALOKINDS	2026-02-05	16.39	16.49	16.02	16.17	5168472
ALPA	2026-02-05	71.1	71.8	69.01	69.62	9518
ALPEXSOLAR	2026-02-05	802.4	802.4	753.5	783.25	50400
ALPHA	2026-02-05	47.35	47.35	46.73	47.05	655521
ALPHAETF	2026-02-05	24.83	24.85	24.58	24.77	391083
ALPHAGEO	2026-02-05	214.0	230.0	214.0	225.48	8617
ALPL30IETF	2026-02-05	27.59	27.72	27.14	27.47	5772036
ALUWIND	2026-02-05	60.05	61.0	60.0	61.0	9000
AMAGI	2026-02-05	370.8	377.3	369.3	374.0	223615
AMANTA	2026-02-05	108.97	108.97	103.52	104.42	23508
AMBANIORGO	2026-02-05	114.2	114.2	114.2	114.2	10000
AMBER	2026-02-05	6408.0	6476.0	6267.5	6399.5	292017
AMBEY	2026-02-05	28.75	29.7	28.75	29.7	8000
AMBICAAGAR	2026-02-05	24.01	24.41	23.36	23.73	1896
AMBIKCO	2026-02-05	1350.0	1350.0	1325.4	1331.8	3440
AMBUJACEM	2026-02-05	536.0	536.95	528.2	533.05	1363472
AMCL	2026-02-05	302.55	311.95	302.55	311.75	4000
AMDIND	2026-02-05	43.53	44.35	43.53	43.9	2064
AMJLAND	2026-02-05	42.69	42.69	39.65	40.31	51974
AMNPLST	2026-02-05	176.0	184.8	171.25	173.01	9203
AMRUTANJAN	2026-02-05	638.0	638.0	621.05	629.65	5019
ANANDRATHI	2026-02-05	2955.8	2979.6	2925.1	2943.6	133796
ANANTAM	2026-02-05	102.5	102.95	102.32	102.49	8416
ANANTRAJ	2026-02-05	554.8	558.3	543.55	547.55	2452298
ANDHRAPAP	2026-02-05	67.75	67.75	64.65	65.53	112980
ANDHRSUGAR	2026-02-05	72.0	76.6	70.89	72.36	653882
ANGELONE	2026-02-05	2665.0	2682.3	2626.1	2645.0	604584
ANIKINDS	2026-02-05	52.57	52.57	49.6	49.92	4023
ANKITMETAL	2026-02-05	1.75	1.75	1.68	1.69	37832
ANLON	2026-02-05	377.6	377.6	377.0	377.3	800
ANMOL	2026-02-05	12.08	12.18	11.8	11.95	8820
ANNAPURNA	2026-02-05	215.8	220.0	213.05	215.9	111250
ANSALAPI	2026-02-05	2.98	2.98	2.98	2.98	192600
ANTELOPUS	2026-02-05	579.0	598.0	561.3	586.6	351349
ANTGRAPHIC	2026-02-05	0.97	0.97	0.92	0.95	103953
ANTHEM	2026-02-05	611.0	639.0	596.05	635.0	879172
ANUHPHR	2026-02-05	83.1	84.0	78.6	79.78	27391
ANUP	2026-02-05	1950.0	1960.0	1891.1	1900.4	25818
ANURAS	2026-02-05	1255.0	1315.1	1251.0	1306.1	268117
ANYA	2026-02-05	20.55	20.55	20.55	20.55	10000
ANZEN	2026-02-05	117.5	117.5	117.5	117.5	25000
AONEGOLD	2026-02-05	14.67	14.67	14.01	14.24	2422347
AONELIQUID	2026-02-05	1045.76	1045.76	1045.74	1045.75	31733
AONENIFTY	2026-02-05	10.88	10.88	10.48	10.5	322305
AONETMMQ50	2026-02-05	9.78	9.78	9.59	9.63	29502
AONETOTAL	2026-02-05	12.27	12.27	11.79	11.82	570392
APARINDS	2026-02-05	9450.0	9634.5	9380.5	9535.0	78700
APCL	2026-02-05	144.0	146.93	135.65	137.26	16957
APCOTEXIND	2026-02-05	379.3	379.3	370.5	375.7	9720
APEX	2026-02-05	372.95	377.95	355.0	361.25	2316528
APEXECO	2026-02-05	135.0	136.0	130.05	134.7	18400
APLAPOLLO	2026-02-05	2181.0	2196.4	2154.9	2182.1	1043338
APLLTD	2026-02-05	801.0	827.45	791.15	810.45	264179
APOLLO	2026-02-05	250.0	251.0	243.6	245.1	1477298
APOLLOHOSP	2026-02-05	7116.0	7133.0	7043.0	7122.0	234707
APOLLOPIPE	2026-02-05	266.55	269.4	263.2	265.45	35554
APOLLOTYRE	2026-02-05	525.0	532.0	502.25	507.85	3657302
APOLSINHOT	2026-02-05	1301.1	1304.8	1270.1	1278.2	735
APRAMEYA	2026-02-05	240.5	242.0	234.05	236.4	5500
APS	2026-02-05	392.95	392.95	374.3	376.65	22250
APTECHT	2026-02-05	82.3	84.5	82.2	82.66	86543
APTUS	2026-02-05	285.15	285.95	268.35	270.55	2178795
ARCHIDPLY	2026-02-05	90.6	94.79	90.6	91.97	14404
