SYMBOL	DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
ATLANTAELE	2026-02-13	886.0	889.25	864.35	871.95	60733
ATLASCYCLE	2026-02-13	93.01	94.95	92.26	93.5	1986
ATLPP	2026-02-13	10.96	10.96	10.37	10.5	4029
ATMASTCO	2026-02-13	139.0	140.25	135.9	137.7	18000
ATUL	2026-02-13	6600.5	6666.0	6492.0	6634.5	14694
ATULAUTO	2026-02-13	507.95	514.15	496.0	500.35	200039
AUBANK	2026-02-13	998.1	1004.6	984.65	994.9	1802819
AURIGROW	2026-02-13	0.34	0.34	0.34	0.34	7437549
AURIONPRO	2026-02-13	962.0	962.0	922.95	932.35	138698
AUROIMPEX	2026-02-13	32.3	32.3	32.3	32.3	1600
AUROPHARMA	2026-02-13	1149.1	1157.4	1126.8	1145.6	1682470
AURUM	2026-02-13	175.01	177.88	170.6	172.35	100093
AUSL	2026-02-13	23.5	23.5	23.5	23.5	2000
AUSOMENT	2026-02-13	114.0	114.0	106.3	107.5	7268
AUTOAXLES	2026-02-13	1975.0	2030.1	1958.1	2007.4	14085
AUTOBEES	2026-02-13	292.36	293.0	289.53	290.25	221050
AUTOIETF	2026-02-13	29.28	29.33	28.86	29.0	327985
AUTOIND	2026-02-13	80.0	80.49	77.88	78.71	55415
AVADHSUGAR	2026-02-13	344.2	347.5	336.0	341.9	27880
AVALON	2026-02-13	1060.0	1082.65	1045.0	1054.05	140937
AVANA	2026-02-13	70.0	70.0	69.15	69.15	12000
AVANTEL	2026-02-13	149.5	154.7	147.11	151.99	1256643
AVANTIFEED	2026-02-13	1403.95	1489.0	1330.05	1424.35	10797866
AVG	2026-02-13	152.0	152.0	142.21	143.96	13233
AVIANSH	2026-02-13	116.5	116.5	113.0	113.0	7000
AVL	2026-02-13	516.45	516.45	500.0	508.0	121385
AVONMORE	2026-02-13	14.38	15.15	13.86	15.06	250495
AVPINFRA	2026-02-13	123.0	123.0	116.5	118.0	16000
AVROIND	2026-02-13	139.5	139.5	128.15	132.62	6868
AVTNPL	2026-02-13	66.64	67.24	65.0	65.81	59935
AWFIS	2026-02-13	359.9	359.95	320.7	323.95	976405
AWHCL	2026-02-13	522.8	524.0	504.05	508.95	98251
AWL	2026-02-13	205.0	205.45	200.2	201.57	1524928
AXISBANK	2026-02-13	1341.3	1346.5	1316.1	1332.3	4624549
AXISBNKETF	2026-02-13	623.38	623.52	617.85	619.83	320
AXISBPSETF	2026-02-13	13.19	13.33	13.14	13.15	52858
AXISCADES	2026-02-13	1365.4	1432.9	1344.1	1422.1	295271
AXISCETF	2026-02-13	122.79	122.79	120.63	120.9	498
AXISGOLD	2026-02-13	133.6	133.6	125.96	126.9	1994181
AXISHCETF	2026-02-13	146.0	147.0	145.92	146.67	1562
AXISILVER	2026-02-13	240.59	244.39	234.5	241.42	1008928
AXISNIFTY	2026-02-13	286.19	286.19	280.25	280.53	26497
AXISTECETF	2026-02-13	357.0	360.58	344.68	357.76	16056
AXISVALUE	2026-02-13	33.87	34.37	33.14	33.23	196481
AXITA	2026-02-13	10.14	10.24	9.76	10.04	406183
AXSENSEX	2026-02-13	85.97	85.97	85.03	85.37	1909
AYMSYNTEX	2026-02-13	185.89	189.83	175.79	179.72	32358
AZAD	2026-02-13	1608.0	1608.6	1560.5	1579.1	117179
BABAFP	2026-02-13	25.0	25.25	25.0	25.25	3200
BAFNAPH	2026-02-13	118.55	125.64	118.55	123.72	1591
BAGDIGITAL	2026-02-13	112.0	112.0	110.1	110.1	11200
BAGFILMS	2026-02-13	5.95	5.95	5.65	5.75	51871
BAHETI	2026-02-13	595.95	608.9	595.0	603.55	25125
BAIDFIN	2026-02-13	11.35	11.61	11.16	11.49	78639
BAJAJ-AUTO	2026-02-13	9800.5	9900.5	9720.0	9760.0	120688
BAJAJCON	2026-02-13	378.05	388.65	368.25	380.95	738831
BAJAJELEC	2026-02-13	384.4	384.4	375.0	376.85	268050
BAJAJFINSV	2026-02-13	2035.0	2035.0	2012.7	2023.2	756233
BAJAJHCARE	2026-02-13	366.5	374.0	355.5	356.6	46402
BAJAJHFL	2026-02-13	89.8	89.84	88.9	89.29	3884937
BAJAJHIND	2026-02-13	17.25	17.25	16.28	16.37	7330657
BAJAJHLDNG	2026-02-13	11040.0	11040.0	10821.0	10881.0	32683
BAJAJINDEF	2026-02-13	270.95	276.5	265.0	267.8	17639
BAJEL	2026-02-13	159.5	163.0	155.3	161.27	167337
BAJFINANCE	2026-02-13	995.0	1032.0	992.8	1024.75	21613987
BALAJEE	2026-02-13	35.9	35.9	34.0	34.12	26934
BALAJIPHOS	2026-02-13	139.0	139.0	135.0	135.0	8000
BALAJITELE	2026-02-13	92.94	92.94	89.0	90.02	373333
BALAMINES	2026-02-13	1093.9	1093.9	1064.0	1079.1	78542
BALAXI	2026-02-13	22.0	22.2	20.77	21.84	84263
BALCO	2026-02-13	23.5	23.5	23.5	23.5	2400
BALKRISHNA	2026-02-13	16.69	16.89	15.76	16.45	7696
BALKRISIND	2026-02-13	2641.3	2641.3	2571.1	2611.8	200893
BALMLAWRIE	2026-02-13	177.5	178.85	175.0	177.49	97579
BALPHARMA	2026-02-13	75.1	76.9	75.01	75.21	36537
BALRAMCHIN	2026-02-13	459.0	470.45	454.5	465.9	433218
BALUFORGE	2026-02-13	503.0	509.4	486.75	501.35	1051131
BANARBEADS	2026-02-13	127.01	128.0	120.0	122.46	1132
BANARISUG	2026-02-13	3598.6	3610.0	3555.0	3581.4	565
BANCOINDIA	2026-02-13	687.15	687.65	656.7	661.9	418431
BANDHANBNK	2026-02-13	168.1	170.03	164.5	165.44	4430723
BANG	2026-02-13	44.01	44.8	43.21	43.6	5532
BANKA	2026-02-13	62.35	62.35	59.35	60.01	5383
BANKADD	2026-02-13	61.78	61.8	61.43	61.48	5423
BANKBARODA	2026-02-13	287.3	288.0	284.6	287.45	6295039
BANKBEES	2026-02-13	624.6	626.7	620.5	622.45	448414
BANKBETA	2026-02-13	62.33	62.91	62.02	62.22	1102101
BANKBETF	2026-02-13	60.03	61.45	60.03	61.04	8806
BANKETF	2026-02-13	614.96	615.21	611.0	611.95	3253
BANKIETF	2026-02-13	62.26	62.26	61.61	61.74	1499156
BANKINDIA	2026-02-13	164.1	164.45	161.26	161.79	8120034
BANKNIFTY1	2026-02-13	629.34	629.34	621.58	624.06	112449
BANKPSU	2026-02-13	92.0	92.23	89.65	91.91	499067
BANSALWIRE	2026-02-13	271.05	279.9	270.45	275.7	35053
BANSWRAS	2026-02-13	118.05	125.58	117.22	122.22	94658
BARFLEX	2026-02-13	63.1	63.1	63.1	63.1	4000
BASF	2026-02-13	3705.0	3785.0	3633.7	3653.6	51319
BASILIC	2026-02-13	275.0	287.5	273.05	281.45	18600
BASML	2026-02-13	24.55	25.5	24.37	25.06	162925
BATAINDIA	2026-02-13	867.9	880.7	840.2	852.25	154948
BAWEJA	2026-02-13	33.25	33.25	31.1	31.1	3200
BAYERCROP	2026-02-13	4808.7	4808.7	4715.8	4791.2	21617
BBETF0432	2026-02-13	1313.34	1313.4	1308.27	1308.66	782
BBL	2026-02-13	2500.1	2546.1	2483.4	2501.1	15961
BBNPNBETF	2026-02-13	62.27	62.27	59.77	60.34	1540
BBNPPGOLD	2026-02-13	147.95	148.45	146.3	148.0	109916
BBOX	2026-02-13	561.0	565.2	540.3	544.5	362873
BBTC	2026-02-13	1805.0	1812.2	1772.5	1791.9	24420
BBTCL	2026-02-13	184.01	197.74	184.0	186.38	1275
BCG	2026-02-13	14.07	14.09	13.35	13.52	17458823
BCLIND	2026-02-13	30.69	30.69	29.55	29.74	707988
BCONCEPTS	2026-02-13	312.0	312.0	282.6	287.55	11099
BDL	2026-02-13	1267.6	1267.9	1240.0	1243.6	1058754
BEACON	2026-02-13	88.0	88.0	85.0	85.55	15000
BEARDSELL	2026-02-13	28.53	29.09	27.22	27.62	22217
BECTORFOOD	2026-02-13	210.8	215.3	208.7	213.21	389463
BEDMUTHA	2026-02-13	140.95	141.59	138.6	139.82	12207
BEL	2026-02-13	443.9	446.2	432.8	435.55	14086068
BELLACASA	2026-02-13	314.35	317.05	306.5	310.55	4440
BELRISE	2026-02-13	186.0	191.39	184.55	186.71	5220884
BEML	2026-02-13	1731.1	1748.9	1700.6	1735.9	171064
BEPL	2026-02-13	85.35	85.68	83.79	84.64	269319
BERGEPAINT	2026-02-13	460.0	464.2	452.5	462.0	309257
BESTAGRO	2026-02-13	18.67	20.22	18.42	18.99	478772
BETA	2026-02-13	1345.0	1383.9	1317.1	1373.6	3711
BEWLTD	2026-02-13	101.0	104.75	99.0	104.5	18500
BFINVEST	2026-02-13	412.0	429.0	396.6	404.1	41207
BFSI	2026-02-13	29.29	29.29	29.02	29.07	143694
BFUTILITIE	2026-02-13	535.0	535.0	515.15	522.05	6474
BGRENERGY	2026-02-13	345.95	345.95	335.0	336.8	86336
BHADORA	2026-02-13	74.9	74.9	74.9	74.9	4800
BHAGCHEM	2026-02-13	219.79	219.79	212.01	212.71	29085
BHAGERIA	2026-02-13	159.1	162.14	156.41	161.2	36058
BHAGYANGR	2026-02-13	160.0	163.9	156.0	158.82	71601
BHANDARI	2026-02-13	4.1	4.12	4.0	4.06	140057
BHARATCOAL	2026-02-13	35.49	35.74	35.1	35.25	11926406
BHARATFORG	2026-02-13	1756.9	1784.2	1725.9	1738.8	4313855
BHARATGEAR	2026-02-13	112.1	112.35	109.05	109.77	25799
BHARATRAS	2026-02-13	1745.6	1749.3	1660.0	1670.5	40373
BHARATSE	2026-02-13	167.0	167.0	162.2	163.55	66772
BHARATWIRE	2026-02-13	175.65	176.0	170.46	175.11	77456
BHARTIARTL	2026-02-13	2013.9	2024.2	1992.0	2004.7	4808543
BHARTIHEXA	2026-02-13	1680.2	1683.0	1661.1	1668.7	46525
BHEL	2026-02-13	257.0	262.2	254.7	255.75	27784730
BIGBLOC	2026-02-13	56.7	56.7	55.26	55.92	105166
BIKAJI	2026-02-13	651.0	654.35	636.85	639.75	109313
BIKEWO	2026-02-13	19.7	20.2	19.7	20.2	24000
BIL	2026-02-13	879.05	893.35	851.3	873.0	4261
BILVYAPAR	2026-02-13	6.86	7.19	6.86	7.15	1701
BIOCON	2026-02-13	374.0	381.9	368.3	377.95	5387172
BIOFILCHEM	2026-02-13	36.4	37.5	35.0	35.91	20286
BIOPOL	2026-02-13	111.0	111.0	105.45	105.5	1963200
BIRET	2026-02-13	363.06	363.06	351.5	352.95	4168426
BIRLACABLE	2026-02-13	140.01	145.19	140.01	142.96	19933
BIRLACORPN	2026-02-13	1074.9	1074.9	1040.7	1052.6	26895
BIRLAMONEY	2026-02-13	135.22	135.22	132.27	133.9	45315
BIRLANU	2026-02-13	1777.0	1840.0	1742.0	1781.5	11202
BLACKBUCK	2026-02-13	635.0	640.4	623.05	634.9	478144
BLAL	2026-02-13	190.01	194.0	187.32	191.55	20259
BLBLIMITED	2026-02-13	14.25	14.43	14.15	14.25	37691
BLISSGVS	2026-02-13	218.0	224.99	209.02	217.82	6571043
BLKASHYAP	2026-02-13	51.41	52.38	50.02	50.42	427143
BLS	2026-02-13	279.5	279.5	267.7	269.3	1252022
BLSE	2026-02-13	163.9	165.36	161.53	163.73	137562
BLUECHIP	2026-02-13	2.51	2.51	2.51	2.51	13764
BLUECOAST	2026-02-13	24.75	26.75	24.35	25.6	3210
BLUEDART	2026-02-13	5746.5	5821.0	5715.0	5811.5	11484
BLUEJET	2026-02-13	441.35	443.35	397.3	397.3	1493591
BLUEPEBBLE	2026-02-13	156.5	158.0	153.0	153.0	9200
BLUESTARCO	2026-02-13	1960.0	2015.0	1952.3	1997.2	618695
BLUESTONE	2026-02-13	445.9	452.55	431.2	436.75	759512
BLUEWATER	2026-02-13	150.0	150.0	138.95	149.85	24000
BLUSPRING	2026-02-13	64.0	64.22	61.26	61.41	68375
BMETRICS	2026-02-13	38.8	39.15	38.6	38.85	3200
BMWVENTLTD	2026-02-13	57.25	58.33	56.6	58.02	107765
BODALCHEM	2026-02-13	51.0	51.0	49.5	49.8	106294
BOHRAIND	2026-02-13	19.9	20.49	19.1	20.04	12502
BOMDYEING	2026-02-13	118.5	120.85	116.4	116.94	791978
